"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","measure_type","value"
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"National","National","Value",293
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"National","National","Percent",0.98
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Auckland","Northern","Value",87
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Auckland","Northern","Percent",0.9670000000000001
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Bay of Plenty","Te Manawa Taki","Value",33
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Bay of Plenty","Te Manawa Taki","Percent",0.9129999999999999
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Canterbury","Te Waipounamu","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Capital & Coast","Central","Value",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Capital & Coast","Central","Percent",0.9990000000000001
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Counties Manukau","Northern","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Hawke's Bay","Central","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Hutt Valley","Central","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Lakes","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Lakes","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"MidCentral","Central","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Nelson Marlborough","Te Waipounamu","Value",16
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Nelson Marlborough","Te Waipounamu","Percent",0.961
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Northland","Northern","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"South Canterbury","Te Waipounamu","Value",89
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"South Canterbury","Te Waipounamu","Percent",0.618
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Southern","Te Waipounamu","Value",65
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Southern","Te Waipounamu","Percent",0.909
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Tairāwhiti","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Taranaki","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Waikato","Te Manawa Taki","Value",2
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Waikato","Te Manawa Taki","Percent",0.998
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Wairarapa","Central","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Waitematā","Northern","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"West Coast","Te Waipounamu","Percent",1
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2023/24","Jun","2024-06",NA,"Whanganui","Central","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"National","National","Value",254
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"National","National","Percent",0.9840000000000001
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Auckland","Northern","Value",91
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Auckland","Northern","Percent",0.9690000000000001
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Bay of Plenty","Te Manawa Taki","Value",23
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Bay of Plenty","Te Manawa Taki","Percent",0.95
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Canterbury","Te Waipounamu","Value",6
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Canterbury","Te Waipounamu","Percent",0.995
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Capital & Coast","Central","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Capital & Coast","Central","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Counties Manukau","Northern","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Hawke's Bay","Central","Value",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Hawke's Bay","Central","Percent",0.998
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Hutt Valley","Central","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Lakes","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Lakes","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"MidCentral","Central","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Nelson Marlborough","Te Waipounamu","Value",6
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Nelson Marlborough","Te Waipounamu","Percent",0.986
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Northland","Northern","Value",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Northland","Northern","Percent",0.9990000000000001
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"South Canterbury","Te Waipounamu","Value",80
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"South Canterbury","Te Waipounamu","Percent",0.66
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Southern","Te Waipounamu","Value",46
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Southern","Te Waipounamu","Percent",0.9179999999999999
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Tairāwhiti","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Taranaki","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Waikato","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Waikato","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Wairarapa","Central","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Waitematā","Northern","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"West Coast","Te Waipounamu","Percent",1
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2023/24","Mar","2024-03",NA,"Whanganui","Central","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"National","National","Value",231
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"National","National","Percent",0.983
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Auckland","Northern","Value",94
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Auckland","Northern","Percent",0.963
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Bay of Plenty","Te Manawa Taki","Value",24
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Bay of Plenty","Te Manawa Taki","Percent",0.9420000000000001
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Canterbury","Te Waipounamu","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Capital & Coast","Central","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Capital & Coast","Central","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Counties Manukau","Northern","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Hawke's Bay","Central","Value",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Hawke's Bay","Central","Percent",0.998
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Hutt Valley","Central","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Lakes","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Lakes","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"MidCentral","Central","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Nelson Marlborough","Te Waipounamu","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Nelson Marlborough","Te Waipounamu","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Northland","Northern","Value",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Northland","Northern","Percent",0.9990000000000001
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"South Canterbury","Te Waipounamu","Value",25
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"South Canterbury","Te Waipounamu","Percent",0.8740000000000001
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Southern","Te Waipounamu","Value",85
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Southern","Te Waipounamu","Percent",0.8340000000000001
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Tairāwhiti","Te Manawa Taki","Value",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Tairāwhiti","Te Manawa Taki","Percent",0.995
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Taranaki","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Waikato","Te Manawa Taki","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Waikato","Te Manawa Taki","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Wairarapa","Central","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Waitematā","Northern","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"West Coast","Te Waipounamu","Percent",1
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2023/24","Dec","2023-12",NA,"Whanganui","Central","Percent",1
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"National","National","Value",127
"1.1","ESPI8","2023/24","Sep","2023-09",NA,"National","National","Percent",0.992
