"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","age","measure_type","value"
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"National","National",NA,"Value",122
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"National","National",NA,"Percent",0.992
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Auckland","Northern",NA,"Value",57
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Auckland","Northern",NA,"Percent",0.978
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Bay of Plenty","Te Manawa Taki",NA,"Value",31
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Bay of Plenty","Te Manawa Taki",NA,"Percent",0.938
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Canterbury","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Canterbury","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Capital & Coast","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Capital & Coast","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Counties Manukau","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Counties Manukau","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Hawke's Bay","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Hawke's Bay","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Hutt Valley","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Hutt Valley","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Lakes","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Lakes","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"MidCentral","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"MidCentral","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Nelson Marlborough","Te Waipounamu",NA,"Value",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Nelson Marlborough","Te Waipounamu",NA,"Percent",0.998
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Northland","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Northland","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"South Canterbury","Te Waipounamu",NA,"Value",30
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"South Canterbury","Te Waipounamu",NA,"Percent",0.857
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Southern","Te Waipounamu",NA,"Value",3
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Southern","Te Waipounamu",NA,"Percent",0.997
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Tairāwhiti","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Tairāwhiti","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Taranaki","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Taranaki","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Waikato","Te Manawa Taki",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Waikato","Te Manawa Taki",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Wairarapa","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Wairarapa","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Waitematā","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Waitematā","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"West Coast","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"West Coast","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Whanganui","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Jun","2023-06",NA,"Whanganui","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"National","National",NA,"Value",139
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"National","National",NA,"Percent",0.992
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Auckland","Northern",NA,"Value",96
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Auckland","Northern",NA,"Percent",0.969
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Bay of Plenty","Te Manawa Taki",NA,"Value",11
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Bay of Plenty","Te Manawa Taki",NA,"Percent",0.982
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Canterbury","Te Waipounamu",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Canterbury","Te Waipounamu",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Capital & Coast","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Capital & Coast","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Counties Manukau","Northern",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Counties Manukau","Northern",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hawke's Bay","Central",NA,"Value",0
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hawke's Bay","Central",NA,"Percent",1
"1.1","ESPI8","2022/23","Mar","2023-03",NA,"Hutt Valley","Central",NA,"Value",0
