"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","measure_type","value"
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"National","National","Value",192
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"National","National","Percent",98.8
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Auckland","Northern","Value",84
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Auckland","Northern","Percent",96.6
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Bay of Plenty","Te Manawa Taki","Value",4
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Bay of Plenty","Te Manawa Taki","Percent",99.3
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Capital & Coast","Central","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Capital & Coast","Central","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Counties Manukau","Northern","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Hawke's Bay","Central","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Hutt Valley","Central","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Lakes","Te Manawa Taki","Value",5
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Lakes","Te Manawa Taki","Percent",98.6
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"MidCentral","Central","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Nelson Marlborough","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Nelson Marlborough","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Northland","Northern","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"South Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"South Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Southern","Te Waipounamu","Value",2
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Southern","Te Waipounamu","Percent",99.8
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Tairāwhiti","Te Manawa Taki","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Taranaki","Te Manawa Taki","Value",3
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Taranaki","Te Manawa Taki","Percent",99.4
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Waikato","Te Manawa Taki","Value",94
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Waikato","Te Manawa Taki","Percent",93.5
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Wairarapa","Central","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Waitematā","Northern","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"West Coast","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2019/20","Sep","2019-09",NA,"Whanganui","Central","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"National","National","Value",161
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"National","National","Percent",98.9
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Auckland","Northern","Value",68
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Auckland","Northern","Percent",97
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Bay of Plenty","Te Manawa Taki","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Bay of Plenty","Te Manawa Taki","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Capital & Coast","Central","Value",1
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Capital & Coast","Central","Percent",99.9
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Counties Manukau","Northern","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Hawke's Bay","Central","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Hutt Valley","Central","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Lakes","Te Manawa Taki","Value",2
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Lakes","Te Manawa Taki","Percent",99.5
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"MidCentral","Central","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Nelson Marlborough","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Nelson Marlborough","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Northland","Northern","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"South Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"South Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Southern","Te Waipounamu","Value",4
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Southern","Te Waipounamu","Percent",99.6
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Tairāwhiti","Te Manawa Taki","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Taranaki","Te Manawa Taki","Value",2
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Taranaki","Te Manawa Taki","Percent",99.6
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Waikato","Te Manawa Taki","Value",84
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Waikato","Te Manawa Taki","Percent",92.9
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Wairarapa","Central","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Waitematā","Northern","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"West Coast","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2019/20","Dec","2019-12",NA,"Whanganui","Central","Percent",100
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"National","National","Value",210
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"National","National","Percent",98.6
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Auckland","Northern","Value",63
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Auckland","Northern","Percent",97.3
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Bay of Plenty","Te Manawa Taki","Value",0
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Bay of Plenty","Te Manawa Taki","Percent",100
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Canterbury","Te Waipounamu","Value",3
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Canterbury","Te Waipounamu","Percent",99.8
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Capital & Coast","Central","Value",1
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Capital & Coast","Central","Percent",99.9
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Counties Manukau","Northern","Percent",100
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Hawke's Bay","Central","Percent",100
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Hutt Valley","Central","Percent",100
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Lakes","Te Manawa Taki","Value",5
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Lakes","Te Manawa Taki","Percent",98.7
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"MidCentral","Central","Value",1
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"MidCentral","Central","Percent",99.8
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Nelson Marlborough","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Nelson Marlborough","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Northland","Northern","Percent",100
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"South Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"South Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Southern","Te Waipounamu","Value",4
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Southern","Te Waipounamu","Percent",99.5
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Tairāwhiti","Te Manawa Taki","Percent",100
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2019/20","Mar","2020-03",NA,"Taranaki","Te Manawa Taki","Percent",100
